mapping_id,table,column,source_pointer,traitement,reference
F0001,STR_REPORT,report_type_code,#/components/schemas/reportTypeCode,FK_VERSIONNEE,REF_TYPE_RAPPORT
F0002,STR_REPORT,submit_type_code,#/components/schemas/submitTypeCode,FK_VERSIONNEE,REF_TYPE_SOUMISSION
F0003,STR_REPORT,activity_sector_code,#/components/schemas/activitySectorCode,FK_VERSIONNEE,REF_SECTEUR_ACTIVITE
F0008,STR_REPORT,ministerial_directive_code,#/components/schemas/ministerialDirectiveCode,FK_VERSIONNEE,REF_DIRECTIVE
F0010,STR_REPORT,suspicion_type_code,#/components/schemas/STRReport/properties/detailsOfSuspicion/properties/suspicionTypeCode,FK_VERSIONNEE,REF_TYPE_SOUPCON
F0011,STR_PPP_PROJECT,project_name_code,#/components/schemas/STRReport/properties/detailsOfSuspicion/properties/publicPrivatePartnershipProjectNameCodes/items,FK_VERSIONNEE,REF_PROJET_PPP
F0016,STR_DEFINITION,type_code,#/components/schemas/PersonName/properties/typeCode,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0021,STR_DEFINITION,type_code,#/components/schemas/EntityName/properties/typeCode,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0024,STR_DEFINITION,type_code,#/components/schemas/PersonDetails/properties/typeCode,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0033,STR_PERSON,country_of_residence_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0036,STR_PERSON,address_type_code,#/components/schemas/addressTypeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0037,STR_ADDRESS,type_code,#/components/schemas/StructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0043,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0044,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0045,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0050,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0051,STR_ADDRESS,type_code,#/components/schemas/UnstructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0052,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0054,STR_IDENTIFICATION,identifier_type_code,#/components/schemas/personIdentificationWithJurisdiction/properties/identifierTypeCode,FK_VERSIONNEE,REF_TYPE_IDENTIFICATION
F0057,STR_IDENTIFICATION,jurisdiction_country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0058,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0059,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0060,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0063,STR_DEFINITION,type_code,#/components/schemas/EntityDetails/properties/typeCode,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0069,STR_ENTITY,address_type_code,#/components/schemas/addressTypeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0070,STR_ADDRESS,type_code,#/components/schemas/StructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0076,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0077,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0078,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0083,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0084,STR_ADDRESS,type_code,#/components/schemas/UnstructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0085,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0087,STR_IDENTIFICATION,identifier_type_code,#/components/schemas/entityIdentificationWithJurisdiction/properties/identifierTypeCode,FK_VERSIONNEE,REF_TYPE_IDENTIFICATION
F0090,STR_IDENTIFICATION,jurisdiction_country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0091,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
