parent,child,fk,parent_key,cardinality,kind,same_version
STR_REPORT,STR_VERSION,report_id,id,1 → 0..N,historique,False
STR_SCHEMA_RELEASE,STR_VERSION,schema_release_id,id,1 → 0..N,historique,False
STR_VERSION,STR_VERSION,previous_version_id,id,1 → 0..N,historique,False
STR_DISPATCH,STR_DISPATCH_ITEM,parent_id,id,1 → 0..N,composition,False
STR_VERSION,STR_DISPATCH_ITEM,version_id,id,1 → 0..N,soumission,False
STR_DISPATCH,STR_API_EXCHANGE,parent_id,id,1 → 0..N,composition,False
STR_ARTIFACT,STR_API_EXCHANGE,request_artifact_id,id,1 → 0..N,archive,False
STR_ARTIFACT,STR_API_EXCHANGE,response_artifact_id,id,1 → 0..N,archive,False
STR_VALIDATION_RESULT_ACK,STR_ACK_LINK,ack_id,id,1 → 0..1,rapprochement,False
STR_DISPATCH_ITEM,STR_ACK_LINK,dispatch_item_id,id,1 → 0..N,rapprochement,False
STR_VERSION,STR_AUDIT_EVENT,parent_id,id,1 → 0..N,composition,False
STR_SCHEMA_RELEASE,STR_CODE_VALUE,parent_id,id,1 → 0..N,composition,False
STR_VERSION,STR_PPP_PROJECT,parent_id,id,1 → 0..N,composition,True
STR_VERSION,STR_RELATED_REPORT,parent_id,id,1 → 0..N,composition,True
STR_RELATED_REPORT,STR_RELATED_TRANSACTION,parent_id,id,1 → 0..N,composition,True
STR_VERSION,STR_DEFINITION,parent_id,id,1 → 0..N,composition,True
STR_DEFINITION,STR_PERSON_NAME,id,id,1 → 0..1,composition,True
STR_DEFINITION,STR_ENTITY_NAME,id,id,1 → 0..1,composition,True
STR_DEFINITION,STR_PERSON_DETAILS,id,id,1 → 0..1,composition,True
STR_PERSON_DETAILS,STR_PERSON_DETAILS_IDENTIFICATION,parent_id,id,1 → 0..N,composition,True
STR_DEFINITION,STR_ENTITY_DETAILS,id,id,1 → 0..1,composition,True
STR_ENTITY_DETAILS,STR_ENTITY_DETAILS_IDENTIFICATION,parent_id,id,1 → 0..N,composition,True
STR_ENTITY_DETAILS,STR_ENTITY_DETAILS_AUTHORIZED_PERSON,parent_id,id,1 → 0..N,composition,True
STR_ENTITY_DETAILS,STR_ENTITY_DETAILS_REGISTRATION,parent_id,id,1 → 0..N,composition,True
STR_DEFINITION,STR_PERSON_EMPLOYER,id,id,1 → 0..1,composition,True
STR_PERSON_EMPLOYER,STR_PERSON_EMPLOYER_IDENTIFICATION,parent_id,id,1 → 0..N,composition,True
STR_DEFINITION,STR_ENTITY_OWNERSHIP,id,id,1 → 0..1,composition,True
