table,json_path,source_pointer,line,kind,required_in_parent,minItems,additionalProperties,storage
STR_VERSION,$.reportDetails,#/components/schemas/STRReport/properties/reportDetails,1316,object,True,1,False,Colonnes report_details_* de STR_VERSION
STR_VERSION,$.detailsOfSuspicion,#/components/schemas/STRReport/properties/detailsOfSuspicion,1344,object,True,,False,Colonnes details_of_suspicion_* de STR_VERSION
STR_VERSION,$.detailsOfSuspicion.publicPrivatePartnershipProjectNameCodes,#/components/schemas/STRReport/properties/detailsOfSuspicion/properties/publicPrivatePartnershipProjectNameCodes,1368,array,True,,non précisé,STR_PPP_PROJECT
STR_VERSION,$.relatedReports,#/components/schemas/STRReport/properties/relatedReports,1392,array,True,,non précisé,STR_RELATED_REPORT
STR_RELATED_REPORT,$.relatedReports[].reportingEntityTransactionReferences,#/components/schemas/STRReport/properties/relatedReports/items/properties/reportingEntityTransactionReferences,1400,array,True,,non précisé,STR_RELATED_TRANSACTION
STR_VERSION,$.actionTaken,#/components/schemas/STRReport/properties/actionTaken,1407,object,False,,False,Colonnes action_taken_* de STR_VERSION
STR_VERSION,$.definitions,#/components/schemas/STRReport/properties/definitions,1413,array,True,,non précisé,STR_DEFINITION
STR_PERSON_DETAILS,$.definitions[].address,#/components/schemas/PersonDetails/properties/address,5341,object,False,,non précisé,Colonnes address_* de STR_PERSON_DETAILS
STR_PERSON_DETAILS,$.definitions[].identifications,#/components/schemas/PersonDetails/properties/identifications,5345,array,True,,non précisé,STR_PERSON_DETAILS_IDENTIFICATION
STR_ENTITY_DETAILS,$.definitions[].address,#/components/schemas/EntityDetails/properties/address,5375,object,False,,non précisé,Colonnes address_* de STR_ENTITY_DETAILS
STR_ENTITY_DETAILS,$.definitions[].identifications,#/components/schemas/EntityDetails/properties/identifications,5379,array,True,,non précisé,STR_ENTITY_DETAILS_IDENTIFICATION
STR_ENTITY_DETAILS,$.definitions[].authorizedPersons,#/components/schemas/EntityDetails/properties/authorizedPersons,5383,array,True,,non précisé,STR_ENTITY_DETAILS_AUTHORIZED_PERSON
STR_ENTITY_DETAILS,$.definitions[].registrationsIncorporations,#/components/schemas/EntityDetails/properties/registrationsIncorporations,5396,array,True,,non précisé,STR_ENTITY_DETAILS_REGISTRATION
STR_PERSON_EMPLOYER,$.definitions[].address,#/components/schemas/personAndEmployerDetails/properties/address,5792,object,False,,non précisé,Colonnes address_* de STR_PERSON_EMPLOYER
STR_PERSON_EMPLOYER,$.definitions[].employerInformation,#/components/schemas/personAndEmployerDetails/properties/employerInformation,5808,object,False,,False,Colonnes employer_information_* de STR_PERSON_EMPLOYER
STR_PERSON_EMPLOYER,$.definitions[].employerInformation.address,#/components/schemas/personAndEmployerDetails/properties/employerInformation/properties/address,5816,object,False,,non précisé,Colonnes employer_information__address_* de STR_PERSON_EMPLOYER
STR_PERSON_EMPLOYER,$.definitions[].identifications,#/components/schemas/personAndEmployerDetails/properties/identifications,5824,array,True,,non précisé,STR_PERSON_EMPLOYER_IDENTIFICATION
STR_ENTITY_OWNERSHIP,$.definitions[].address,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/address,5846,object,False,,non précisé,Colonnes address_* de STR_ENTITY_OWNERSHIP
STR_ENTITY_OWNERSHIP,$.definitions[].identifications,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/identifications,5854,array,True,,non précisé,STR_ENTITY_OWNERSHIP_IDENTIFICATION
STR_ENTITY_OWNERSHIP,$.definitions[].authorizedPersons,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/authorizedPersons,5858,array,True,,non précisé,STR_ENTITY_OWNERSHIP_AUTHORIZED_PERSON
STR_ENTITY_OWNERSHIP,$.definitions[].registrationsIncorporations,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/registrationsIncorporations,5880,array,True,,non précisé,STR_ENTITY_OWNERSHIP_REGISTRATION
STR_ENTITY_OWNERSHIP,$.definitions[].directorsOfCorporation,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/directorsOfCorporation,5884,array,True,,non précisé,STR_DIRECTOR
STR_DIRECTOR,$.definitions[].directorsOfCorporation[].address,#/components/schemas/personContact/properties/address,5953,object,False,,non précisé,Colonnes address_* de STR_DIRECTOR
STR_ENTITY_OWNERSHIP,$.definitions[].personsOwningSharesOfCorporation,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/personsOwningSharesOfCorporation,5888,array,True,,non précisé,STR_SHARE_OWNER
STR_ENTITY_OWNERSHIP,$.definitions[].trusteesOfTrust,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/trusteesOfTrust,5900,array,True,,non précisé,STR_TRUSTEE
STR_TRUSTEE,$.definitions[].trusteesOfTrust[].address,#/components/schemas/personContact/properties/address,5953,object,False,,non précisé,Colonnes address_* de STR_TRUSTEE
STR_ENTITY_OWNERSHIP,$.definitions[].settlorsOfTrust,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/settlorsOfTrust,5904,array,True,,non précisé,STR_SETTLOR
STR_SETTLOR,$.definitions[].settlorsOfTrust[].address,#/components/schemas/personContact/properties/address,5953,object,False,,non précisé,Colonnes address_* de STR_SETTLOR
STR_ENTITY_OWNERSHIP,$.definitions[].personsOwningUnitsOfTrust,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/personsOwningUnitsOfTrust,5908,array,True,,non précisé,STR_TRUST_UNIT_OWNER
STR_TRUST_UNIT_OWNER,$.definitions[].personsOwningUnitsOfTrust[].address,#/components/schemas/personContact/properties/address,5953,object,False,,non précisé,Colonnes address_* de STR_TRUST_UNIT_OWNER
STR_ENTITY_OWNERSHIP,$.definitions[].beneficiariesOfTrust,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/beneficiariesOfTrust,5912,array,True,,non précisé,STR_TRUST_BENEFICIARY
STR_TRUST_BENEFICIARY,$.definitions[].beneficiariesOfTrust[].address,#/components/schemas/personContact/properties/address,5953,object,False,,non précisé,Colonnes address_* de STR_TRUST_BENEFICIARY
STR_ENTITY_OWNERSHIP,$.definitions[].personsOwningEntityNotCorporationOrTrust,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/personsOwningEntityNotCorporationOrTrust,5916,array,True,,non précisé,STR_OTHER_ENTITY_OWNER
STR_VERSION,$.transactions,#/components/schemas/STRReport/properties/transactions,1423,array,True,1,non précisé,STR_TRANSACTION
STR_TRANSACTION,$.transactions[].suspiciousTransactionDetails,#/components/schemas/STRReport/properties/transactions/items/properties/suspiciousTransactionDetails,1432,object,True,,False,Colonnes suspicious_transaction_details_* de STR_TRANSACTION
